Prevalence	TotalAbundance	Domain	Phylum	Class	Order	Family	Genus	Species	OTU
1	9	Bacteria	Campilobacterota	Campylobacteria	Campylobacterales	Campylobacteraceae	NA	NA	NA
1	14	Bacteria	Dependentiae	Babeliae	Babeliales	Babeliaceae	NA	NA	NA
2	1401	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	NA	NA	NA
3	309	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	NA	NA	NA
11	375	Bacteria	Acidobacteriota	Acidobacteriae	Bryobacterales	Bryobacteraceae	NA	NA	NA
1	45	Bacteria	Acidobacteriota	Vicinamibacteria	Subgroup_17	Subgroup_17	NA	NA	NA
1	8	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	uncultured	NA	NA	NA
3	307	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	Vicinamibacteraceae	NA	NA	NA
2	25	Bacteria	Acidobacteriota	Blastocatellia	11-24	11-24	NA	NA	NA
2	54	Bacteria	Acidobacteriota	Blastocatellia	DS-100	DS-100	NA	NA	NA
24	3433	Bacteria	Acidobacteriota	Blastocatellia	Blastocatellales	Blastocatellaceae	NA	NA	NA
5	365	Bacteria	Acidobacteriota	Blastocatellia	Pyrinomonadales	Pyrinomonadaceae	NA	NA	NA
1	5	Bacteria	Verrucomicrobiota	Chlamydiae	Chlamydiales	cvE6	NA	NA	NA
5	49	Bacteria	Verrucomicrobiota	Chlamydiae	Chlamydiales	Parachlamydiaceae	NA	NA	NA
1	35	Bacteria	Verrucomicrobiota	Chlamydiae	Chlamydiales	Simkaniaceae	NA	NA	NA
12	571	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae_(Subgroup_1)	NA	NA	NA
2	32	Bacteria	Chloroflexi	Ktedonobacteria	C0119	C0119	NA	NA	NA
1	21	Bacteria	Sumerlaeota	Sumerlaeia	Sumerlaeales	Sumerlaeaceae	NA	NA	NA
1	6	Bacteria	Elusimicrobiota	Lineage_IIb	Lineage_IIb	Lineage_IIb	NA	NA	NA
1	49	Bacteria	Actinobacteriota	Acidimicrobiia	IMCC26256	IMCC26256	NA	NA	NA
3	122	Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	Iamiaceae	NA	NA	NA
1	15	Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	uncultured	NA	NA	NA
24	2424	Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	Ilumatobacteraceae	NA	NA	NA
2	62	Bacteria	Firmicutes	Bacilli	Mycoplasmatales	Mycoplasmataceae	NA	NA	NA
1	152	Bacteria	Firmicutes	Negativicutes	Veillonellales-Selenomonadales	Veillonellaceae	NA	NA	NA
2	257	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	NA	NA	NA
1	20	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Peptostreptococcales-Tissierellales	NA	NA	NA
1	212	Bacteria	Firmicutes	Thermoanaerobacteria	Thermoanaerobacterales	Family_III	NA	NA	NA
4	778	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	NA	NA	NA
