OTU_ID,EXTRNEG,ExtrNeg1,EXTRPOS,GW1,GW10,GW11,GW12,GW13,GW14,GW15,GW16,GW17,GW18,GW19,GW2,GW20,GW21,GW22,GW23,GW24,GW25,GW26,GW27,GW28,GW29,GW3,GW30,GW31,GW32,GW33,GW34,GW35,GW36,GW37,GW38,GW39,GW4,GW40,GW41,GW42,GW43,GW44,GW45,GW46,GW47,GW48,GW49,GW5,GW50,GW51,GW52,GW53,GW54,GW55,GW56,GW57,GW58,GW59,GW6,GW60,GW61,GW62,GW63,GW64,GW65,GW66,GW67,GW68,GW69,GW7,GW70,GW71,GW72,GW73,GW74,GW8,GW9,PCRNeg1,PCRNeg2,PCRPos1,PCRPos2
4a0b292ba716582f9af46694458c0b9b,0,0,106,56305,0,0,728,25334,51944,55064,3586,54967,4879,52861,70549,889,59579,81762,90876,5973,60300,21760,79740,14318,73456,57792,25318,187,55739,3056,112363,9315,46466,14521,98017,9060,48786,7223,6064,63855,19812,9718,11862,31228,51173,6163,4478,5013,65037,55430,89832,2849,8971,73030,4307,29351,72295,10664,3291,167,4531,23256,35607,81424,65948,36046,3303,128687,15673,27190,99946,16694,4122,8852,82756,42061,0,0,0,93,33
bd02c650aa8836fb5e06a35156dc1774,0,0,36,23258,0,0,356,11929,25187,43897,3087,29055,2812,29249,44633,1019,45413,41124,53668,3840,31237,11783,51817,4906,42299,37985,5985,211,41370,2365,41934,2706,18834,12026,48024,5076,34233,686,3640,45155,10892,5070,5432,13249,35657,3516,2725,2653,41648,25274,47282,689,8667,51771,3232,15513,39430,6911,2026,45,3900,16121,27772,48742,34232,18105,1494,55655,12573,14709,65834,11077,1740,3306,41584,23993,0,0,0,30,25
0d44989f98a705edc1bd5c29df6c552d,0,0,0,3256,0,0,77,2855,585,168,7,53203,0,15890,2694,0,7547,12394,5768,21,3611,98,1964,0,9760,5519,8,0,643,0,1006,0,33,85,2239,825,2534,0,0,5508,10400,31127,76784,544,5332,72464,2437,43,7821,6348,2363,17,583,1745,0,360,8325,0,43,257,364,372,10501,4323,23189,34984,0,12397,19,4035,4840,0,0,1903,11478,291,0,0,0,0,0
945184b6386c192c0066e0a98a154780,0,0,0,7398,0,0,11821,6965,5303,224,0,0,0,247,0,0,0,0,0,37331,0,0,0,0,437,0,0,0,8624,8262,1576,1664,887,0,0,739,1528,0,961,102,140,1423,325,1300,1408,1074,457,14474,346,297,0,1651,0,1491,0,222,4242,600,4357,46005,38570,3215,0,120,0,0,0,0,1042,278,0,0,758,16474,71,0,0,0,0,0,0
7ce647f7d457226fc3950cd5ec4eefdf,0,0,0,3072,0,0,286,132,517,648,0,2944,0,1657,1011,57,12764,11923,2918,235,1958,27,1006,0,853,465,1354,0,13187,0,723,0,0,0,79,0,7537,0,0,605,8919,8755,19635,374,4849,154,803,0,4766,3531,4346,0,413,694,0,0,73,0,0,8016,24767,3353,41123,1497,3191,1524,343,2393,0,308,1428,0,0,1719,739,46,0,0,0,0,0
9cca219ac7e1d9722ab63545dc219ecd,1357,0,0,1078,0,0,2179,201,4626,268,625,42,292,10,146,161,48,199,36,431,302,3293,111,2689,266,3267,982,0,144,2151,310,2246,71,2505,318,3242,2618,3314,2790,225,381,327,258,801,361,68,616,6200,723,148,3014,699,14255,351,355,11490,1997,1169,1565,15778,5615,2094,925,9760,455,38,2536,930,19151,4377,1280,24180,36328,671,368,1227,0,0,0,0,0
8fc29f8f62a6dcd4b46977a3a7b0ff60,0,0,0,0,0,0,0,529,0,746,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,474,0,0,0,0,0,1601,94,0,0,0,0,0,0,0,0,0,0,419,0,36713,0,0,1902,2367,0,712,0,0,0,0,0,1454,0,62678,11490,24017,0,1518,50276,0,0,0,0,0,0,0,0,0
5673ae66819e3bdbbc09461e4959159e,0,0,0,2079,0,0,1471,1623,1982,366,0,0,78,0,122,0,0,0,0,0,0,0,0,0,0,0,0,0,372,0,0,0,1584,1001,0,2141,186,0,5450,350,79,750,285,75,479,1693,228,4527,458,235,74,727,4320,871,0,373,210,483,3500,39311,39398,1118,0,2834,166,159,14069,2165,7644,1630,599,4315,24186,843,323,609,0,0,0,46,0
7ff346973a282aa55de296afdb5d74af,0,0,0,0,0,0,0,0,0,0,22642,128,13765,359,6,90040,2517,11947,4883,178,130,314,16,521,17,26,0,526,155,851,658,252,92,890,22,194,97,0,0,0,0,0,13,0,0,0,0,0,0,22,0,0,160,0,0,166,0,0,0,0,0,696,0,0,0,0,118,21,0,563,0,0,0,0,59,739,0,0,0,18,0
2bbb28b70c3a3757e48663f4d0003ecc,0,0,31,137,0,0,850,1377,931,92,0,0,220,1988,0,0,34,24,28,0,16,38,181,880,601,10,0,0,377,0,0,484,1171,0,0,628,81,0,0,748,57,102,13,678,815,21,23,386,240,0,0,128230,11,6168,162,0,12,0,888,226,408,157,59,13,0,384,0,0,0,41,0,0,0,454,0,0,0,0,0,0,26
777c50185200d35116740a777e462069,0,0,0,5525,0,0,29811,10563,1620,401,0,18,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,623,498,0,0,0,0,0,30,0,0,65,49,12640,214,0,0,10671,0,5506,0,0,0,0,27972,0,0,313,0,366,0,0,0,0,0,0,0,0,1226,26103,0,0,0,0,0,0,0
8ce12e88f6b59bb09494567f0d678092,0,0,51,260,0,0,26182,13127,147,1405,0,626,0,1189,0,222,884,77,32,0,273,0,29,0,0,202,0,0,18,0,0,0,21,0,75,18572,563,0,0,691,472,693,8447,1862,1827,168,40,574,345,4842,0,604,0,569,0,0,0,0,13059,113,0,0,1177,110,23,0,0,217,260,70,462,0,0,14705,0,0,0,0,0,0,0
4e0481f68111cd3463386f70247922bb,0,0,0,964,0,0,0,205,149,548,0,0,117,4375,2031,142,5505,544,0,0,0,1337,1647,0,1194,3898,572,0,151,0,185,0,0,0,1080,0,25,0,0,0,96,46878,13382,0,360,35,0,3488,129,0,0,647,0,1967,281,0,28,0,929,0,0,74,503,0,0,8048,0,26,296,126,96,0,0,0,49,18,0,0,0,0,0
e1c7d97fe13e9127d225d76a1feb8c78,0,0,0,1917,0,0,482,390,397,555,0,43,0,66,1143,0,0,0,0,478,310,1040,84,1637,392,748,1214,0,70,92,425,2924,86,14636,1707,593,587,2153,215,168,2389,5527,2597,3536,2173,417,1202,3222,5239,0,610,922,1064,693,2806,2198,173,0,800,257,195,266,4477,2383,70,52,362,102,2653,4929,400,1497,3812,298,1166,3994,0,0,0,0,0
fc6622c636a5210293fb2873fc4761d9,0,0,0,1780,0,0,107,925,2683,178,0,2190,115,5398,1464,0,1296,8336,3229,0,648,0,1484,0,2335,10112,0,0,1893,0,2082,0,2845,0,1194,3007,116,0,0,2145,647,1772,6768,196,1434,101,181,0,183,2817,566,0,0,1891,0,0,420,810,51,114,118,0,134,1895,354,1862,0,1589,0,0,3920,0,0,220,3651,0,0,0,0,0,23
c06ccd1f7d57566ef669942328b1a946,0,0,0,3178,0,0,157,4101,1156,140,82,0,567,0,30,318,0,57,0,137,0,0,0,0,0,25,0,0,0,0,0,0,0,0,510,0,0,660,0,0,418,458,95,1132,404,698,3103,15770,2659,0,0,13140,0,5190,187,0,7,0,26803,182,406,277,77,0,0,0,0,0,0,0,0,0,0,0,0,74,2724,0,0,0,0
b5c8ed4496d79b916859402cdf11f0a7,0,0,41,361,0,0,99,172,1066,628,0,0,823,77,682,0,0,246,32,121,151,2395,176,1699,448,2681,4077,0,66,151,32,0,0,2049,540,3139,719,1947,3346,305,515,262,220,973,709,153,1142,1050,993,353,569,456,1732,379,491,6542,379,696,675,512,341,2040,490,2304,173,0,1641,512,5555,5243,618,5861,4923,46,1005,5738,0,0,0,0,0
4552af3e905206840cf8b67bcaf2693f,0,0,0,0,0,0,70,1778,373,168,0,14268,0,98,58,0,254,1618,53,0,0,0,92,0,1864,409,0,0,202,0,0,0,0,0,97,0,20991,0,4262,1283,738,41,6894,0,2115,7840,0,0,253,208,4641,0,50,908,0,85,56,0,0,0,0,0,302,1755,2599,616,0,1997,0,540,726,185,0,653,302,123,0,0,0,0,0
c939ee112ba982665e012437dae05c1e,0,0,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2858,0,0,0,0,0,0,0,0,1289,0,0,727,432,0,0,0,0,0,0,0,0,0,106,0,0,0,0,0,0,128,0,0,0,0,0,173,0,0,0,41996,18653,814,175,0,0,0,543,119,362,0,229,793,0,0,0,0,0,0,0,0,0
65d43491988bfe557da4d86a5ba25dae,0,0,0,0,0,0,0,0,1041,429,894,31,767,69,0,904,12,0,41,0,7,44,0,0,0,28,166,0,0,0,0,0,0,0,8,0,55,984,240,7,0,0,0,0,0,0,27,0,59,570,154,166,1860,50,52,1643,36,4624,90,0,0,5861,0,22,19,31,893,30,5338,75,67,1515,289,0,0,995,958,0,0,13431,21844
816719fdde767b714f4747ad4a3c577a,0,0,63900,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c959242321749237c9361696a94b439f,0,0,0,244,0,0,24,47,494,193,319,13,1400,46,236,0,25,9,37,0,99,1533,43,2162,139,306,2016,0,17,0,9,0,0,7871,482,788,288,956,1728,35,263,227,25,268,328,73,1109,712,556,233,123,222,2303,89,154,1244,73,97,469,37,129,2357,285,125,32,8,477,45,9418,7755,97,2306,982,16,733,4154,0,0,0,0,0
607aee8b5f8abc3baf12a67738ff12d1,0,0,0,783,0,0,422,998,248,223,0,1947,0,1034,914,0,1262,5558,634,0,294,0,312,0,1832,737,0,0,63,0,408,0,69,0,1031,177,2552,0,0,417,1541,1278,5671,13,547,1494,475,25,567,1442,1897,0,0,1132,0,12,1238,0,0,0,286,64,518,875,612,1134,0,1746,0,0,911,0,0,2378,1064,0,0,0,0,0,0
119b70614392764602bb20f8bbe8f960,0,0,0,0,0,0,0,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24718,0,121,16244,1115,0,0,0,186,370,0,90,0,428,1982,0,310,0,0,0,0,0,95,0,0,0,268,0,0,0,0,245,0,0,0,0,0,0,0,0,1177,0,0,0,0,0,0,0,0
581a55014641e1cd55cdc272c0365a28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22080,24987
a76e065bdfde0aa883c898ccf5f092fc,0,0,0,69,0,0,54,46,165,155,65,0,1316,121,75,0,26,35,19,70,140,1363,67,2083,153,263,1545,0,27,0,14,0,0,11375,1888,1684,322,150,249,0,0,0,0,0,90,40,112,249,321,186,362,120,0,112,23,593,55,253,398,205,174,1522,103,222,31,0,129,74,1557,6572,58,1407,2252,20,705,3335,0,0,0,0,0
aee9f354c80ca7baa872c3da2fe462c2,0,0,0,724,0,0,858,1811,192,54,0,233,0,128,55,0,761,140,0,0,0,0,113,0,1131,50,0,0,4724,0,0,0,0,0,185,0,0,0,249,568,656,1156,10013,0,91,77,277,1302,218,153,181,1129,0,841,0,0,1194,0,3424,152,2440,77,0,0,1668,1309,0,0,77,115,355,232,486,2537,77,0,0,0,0,0,0
8ae518dbb29595b3f79214be0b589066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17857,22072
40ffac9cd8b8ef62bba893e2223310f0,0,0,0,107,0,0,434,84,363,0,110,1373,0,92,419,0,335,2863,581,0,235,0,160,0,688,991,0,0,0,0,176,0,0,0,530,0,456,0,0,799,287,1170,6273,99,858,2717,0,0,0,336,655,0,0,595,0,0,545,0,0,0,362,1389,8353,0,863,0,0,1049,0,244,1979,0,0,847,336,0,0,0,0,0,0
4cbfff144d4e7a4e0f4619ed505be070,0,0,0,0,0,0,0,2941,0,0,0,1661,0,92,0,0,319,0,0,0,136,0,0,24,0,0,0,0,139,0,0,0,0,0,0,0,0,0,0,2256,0,0,1844,0,195,1360,0,0,0,284,0,0,459,0,0,0,0,0,0,0,212,0,299,0,119,3238,0,95,0,73,0,0,0,0,72,0,0,0,0,8316,13842
92f1720367db58c68a96eceb9feb416a,0,0,0,268,0,0,47,35,573,199,0,0,453,0,149,200,0,76,15,0,0,0,22,0,33,76,396,0,28,321,0,810,19,3439,410,472,337,303,827,90,164,73,48,125,243,16,152,1629,275,138,32,51,2107,69,914,1501,103,0,648,0,71,3494,503,98,52,0,126,122,3917,6136,175,1882,876,22,811,1398,0,0,0,0,0
37a909bc81479fde87f33799ebba57f5,0,0,0,375,0,0,36,354,447,482,0,2597,153,722,811,0,1683,6160,519,0,1260,77,621,0,2348,1220,0,0,629,0,304,0,908,0,432,0,785,0,0,372,155,234,1707,0,339,658,232,0,133,2295,1419,0,0,610,0,184,170,0,0,141,127,65,472,124,884,435,0,1382,0,0,911,0,0,437,609,0,0,0,0,17,0
26f173c04574871aba8876838e2d9e61,0,0,0,262,0,0,562,685,150,744,0,0,0,1068,0,0,0,0,1422,0,2600,560,52,0,3801,504,0,0,0,0,547,0,921,0,393,56,178,0,0,7135,220,180,176,2899,1069,1366,183,334,308,228,0,284,0,223,1058,0,1479,0,1090,186,20,198,1050,22,97,258,295,347,456,550,0,167,0,552,50,0,0,0,0,0,0
1fa19a198819b145e52bb266e4e7840b,0,0,0,714,0,0,0,46,1575,342,540,18,0,0,255,47,0,0,0,0,77,3393,182,488,291,1099,1536,0,21,39,0,16,0,1980,357,1143,962,1163,426,40,215,76,30,159,348,64,128,1864,375,0,244,0,1194,201,793,1459,204,0,270,71,64,61,563,309,35,0,467,189,2040,2900,124,2088,1088,20,355,1538,0,0,0,0,0
04ecfad5772d2e09a84a0f5ef460536c,0,0,0,383,0,0,110,108,659,580,1296,0,717,70,122,0,38,189,30,0,66,501,69,1257,63,346,296,0,0,141,220,88,0,1396,257,972,393,450,227,21,284,246,127,837,395,81,2993,1509,1787,518,225,240,271,197,1234,655,32,1172,413,278,111,3026,380,67,20,0,268,0,2978,1621,44,1021,428,53,227,861,0,0,0,0,0
cbe9e5f34c7b6768d85759c1248cfddd,0,0,0,768,0,0,67,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162,0,0,0,0,0,0,0,0,0,0,10,0,197,53,115,127,170,558,71,0,0,165,250,0,45,0,0,0,12496,0,14,0,145,317,118,327,10782,593,25,22,0,0,986,0,125,1047,3188,67,0,0,0,0,0,79,0
63a8eba87c9a6729827fb8a026510b24,0,0,32235,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dcba105f35d8ebc9e22269c7491ad3a7,0,0,0,0,0,0,0,107,0,0,0,0,0,579,0,0,0,0,0,0,492,0,1053,0,3707,0,0,0,0,0,0,0,0,0,271,0,0,0,14,4830,36,0,0,0,67,0,0,0,38,0,0,0,0,0,0,0,7842,0,0,0,0,0,0,0,0,12130,0,13,0,0,562,227,0,0,0,0,0,0,0,0,0
912f795ef3617aeb65ff9ad69b9567a8,0,0,0,0,0,0,0,153,0,0,0,0,158,2898,315,0,43,0,0,0,2441,0,0,0,0,0,0,0,0,0,0,0,0,0,1438,0,0,0,0,0,0,0,0,327,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23996,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0
c3fe6ae58bb1e240a989dac6b2708532,0,0,0,264,0,0,0,77,617,225,0,0,0,37,807,0,0,0,0,0,154,549,60,2782,73,83,868,0,0,0,0,0,0,435,323,163,287,471,984,84,623,305,75,713,482,75,1383,799,541,108,167,112,1282,133,274,1123,139,0,582,125,53,580,261,125,36,0,498,85,2792,1338,145,1922,275,0,421,2877,0,0,0,0,0
f36c50279a8fa1c121cb9dda1ab1cb42,0,0,0,0,0,0,0,1655,0,0,0,0,6,1226,48,0,2771,250,0,0,1871,1004,919,459,842,0,50,0,370,0,0,0,0,98,70,253,0,0,0,481,299,2599,958,136,267,701,0,0,409,2861,0,0,0,240,0,250,539,0,0,0,0,197,56,1557,37,1175,44,1338,0,117,1087,216,115,0,1079,477,0,0,0,0,0
57d717789b00b69bc62c3f74e57f03a5,0,0,0,57,0,0,10,34,313,156,0,0,225,12,137,176,20,16,0,0,38,1128,25,205,85,158,1814,0,0,0,0,0,0,5250,382,210,169,699,989,32,63,17,0,60,167,44,698,433,423,31,269,61,250,81,24,979,33,578,408,0,8,622,72,110,26,0,265,30,1408,2432,25,1620,1695,15,350,1955,0,0,0,0,0
34ed5dee580cb7e4333f93fa7bbb2354,0,0,0,0,0,0,0,1706,0,0,0,1198,0,78,0,0,525,0,2818,0,4826,0,38,0,0,833,0,0,0,0,0,0,0,0,225,0,0,0,0,0,0,0,0,0,43,269,0,0,0,709,0,0,78,0,0,0,0,0,0,0,0,0,259,0,0,10810,0,2618,0,0,77,0,0,0,98,0,0,0,0,0,0
e61a7bc42a30f0ca4f170b5e3f6cad0c,0,0,0,0,0,0,0,11859,43,0,0,0,311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,404,0,0,194,0,0,411,0,109,899,0,0,0,0,0,0,0,0,12184,0,0,125,0,0,0,0,0,0,0,0,0,0,169,0,0,0,0,0,0,0,0
