OTU,Domain,Phylum,Class,Order,Family,Genus,Species
4a0b292ba716582f9af46694458c0b9b,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,Chloroplast,Chloroplast,
bd02c650aa8836fb5e06a35156dc1774,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,Mitochondria,
0d44989f98a705edc1bd5c29df6c552d,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,
945184b6386c192c0066e0a98a154780,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,
7ce647f7d457226fc3950cd5ec4eefdf,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,,,
9cca219ac7e1d9722ab63545dc219ecd,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,
8fc29f8f62a6dcd4b46977a3a7b0ff60,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Erwiniaceae,,
5673ae66819e3bdbbc09461e4959159e,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Pantoea,
7ff346973a282aa55de296afdb5d74af,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Micrococcaceae,,
2bbb28b70c3a3757e48663f4d0003ecc,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingobium,
777c50185200d35116740a777e462069,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,
8ce12e88f6b59bb09494567f0d678092,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,
4e0481f68111cd3463386f70247922bb,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Weeksellaceae,Chryseobacterium,
e1c7d97fe13e9127d225d76a1feb8c78,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,
