sample-id,category
EXTRNEG,woodruff_extraction_negative
ExtrNeg1,woodruff_extraction_negative
EXTRPOS,woodruff_extraction_positive
GW1,woodruff_fig_woodruff_fig_interior
GW10,woodruff_M9_negative
GW11,woodruff_M9_negative
GW12,woodruff_fig_surface
GW13,woodruff_fig_interior
GW14,woodruff_fig_interior
GW15,woodruff_fig_interior
GW16,woodruff_fig_surface
GW17,woodruff_fig_interior
GW18,woodruff_fig_surface
GW19,woodruff_fig_interior
GW2,woodruff_fig_interior
GW20,woodruff_fig_surface
GW21,woodruff_fig_interior
GW22,woodruff_fig_interior
GW23,woodruff_fig_interior
GW24,woodruff_fig_surface
GW25,woodruff_fig_interior
GW26,woodruff_fig_surface
GW27,woodruff_fig_interior
GW28,woodruff_fig_surface
GW29,woodruff_fig_interior
GW3,woodruff_fig_interior
GW30,woodruff_fig_surface
GW31,woodruff_M9_negative
GW32,woodruff_fig_interior
GW33,woodruff_fig_woodruff_fig_surface
GW34,woodruff_fig_interior
GW35,woodruff_fig_woodruff_fig_surface
GW36,woodruff_fig_interior
GW37,woodruff_fig_woodruff_fig_surface
GW38,woodruff_fig_interior
GW39,woodruff_fig_woodruff_fig_surface
GW4,woodruff_fig_interior
GW40,woodruff_fig_woodruff_fig_surface
GW41,woodruff_fig_woodruff_fig_surface
GW42,woodruff_fig_interior
GW43,woodruff_fig_interior
GW44,woodruff_fig_woodruff_fig_surface
GW45,woodruff_fig_interior
GW46,woodruff_fig_woodruff_fig_surface
GW47,woodruff_fig_interior
GW48,woodruff_fig_interior
GW49,woodruff_fig_woodruff_fig_surface
GW5,woodruff_fig_woodruff_fig_surface
GW50,woodruff_fig_interior
GW51,woodruff_fig_interior
GW52,woodruff_fig_interior
GW53,woodruff_fig_woodruff_fig_surface
GW54,woodruff_fig_woodruff_fig_surface
GW55,woodruff_fig_interior
GW56,woodruff_fig_woodruff_fig_surface
GW57,woodruff_fig_woodruff_fig_surface
GW58,woodruff_fig_interior
GW59,woodruff_fig_woodruff_fig_surface
GW6,woodruff_fig_woodruff_fig_surface
GW60,woodruff_fig_woodruff_fig_surface
GW61,woodruff_fig_interior
GW62,woodruff_fig_woodruff_fig_surface
GW63,woodruff_fig_interior
GW64,woodruff_fig_interior
GW65,woodruff_fig_interior
GW66,woodruff_fig_interior
GW67,woodruff_fig_woodruff_fig_surface
GW68,woodruff_fig_interior
GW69,woodruff_fig_woodruff_fig_surface
GW7,woodruff_fig_woodruff_fig_surface
GW70,woodruff_fig_interior
GW71,woodruff_fig_woodruff_fig_surface
GW72,woodruff_fig_woodruff_fig_surface
GW73,woodruff_fig_interior
GW74,woodruff_fig_interior
GW8,woodruff_fig_woodruff_fig_surface
GW9,woodruff_M9_negative
PCRNeg1,woodruff_pcr_negative
PCRNeg2,woodruff_pcr_negative
PCRPos1,woodruff_pcr_positive
PCRPos2,woodruff_pcr_positive
ERR1307271,dirksen_substrate
ERR1307272,dirksen_substrate
ERR1307273,dirksen_substrate
ERR1307274,dirksen_substrate
ERR1307275,dirksen_substrate
ERR1307276,dirksen_substrate
ERR1307277,dirksen_substrate
ERR1307278,dirksen_substrate
ERR1307279,dirksen_substrate
ERR1307280,dirksen_substrate
ERR1307281,dirksen_substrate
ERR1307282,dirksen_substrate
ERR1307283,dirksen_substrate
ERR1307284,dirksen_substrate
ERR1307285,dirksen_substrate
ERR1307286,dirksen_substrate
ERR1307287,dirksen_substrate
ERR1307288,dirksen_substrate
